0000	(>):	5
0000	conceals	5
0000	oftbe	7
0000	discloses	7
0000	amaru	10
0000	ol7	12
0000	o17	15
0000	oflexical	17
0000	ofa	84
0000	ofthe	92
0000	of	1268915
0000	ops	122
00010	tomake	5
00010	tothe	49
00010	to	788560
0001100	thatsummationtext	6
0001100	9as	7
0001100	9s	13
0001100	3as	18
0001100	2as	19
0001100	as	299436
0001101	by_	5
0001101	doln	6
0001101	bya	11
0001101	bythe	36
0001101	by	224910
0001101	hy	365
00011100	erom	7
00011100	oi1	24
00011100	on	194893
00011100	onthe	29
00011101000	ihto	7
00011101000	billionaire	7
00011101000	tnto	9
00011101000	illto	10
00011101000	lnto	11
00011101000	imo	14
00011101000	iuto	17
00011101000	mto	25
00011101000	inlo	34
00011101000	into	52100
00011101001	fmom	5
00011101001	throught	7
00011101001	rrom	7
00011101001	outnumbers	7
00011101001	frora	7
00011101001	frolil	8
00011101001	firom	8
00011101001	froma	8
00011101001	ftom	9
00011101001	frolu	11
00011101001	froth	12
00011101001	tiom	12
00011101001	froul	13
00011101001	fxom	13
00011101001	trom	14
00011101001	irom	15
00011101001	fzom	15
00011101001	fromthe	20
00011101001	frorn	27
00011101001	frcm	29
00011101001	froin	34
00011101001	outweighs	35
00011101001	frmn	46
00011101001	flom	63
00011101001	fiom	118
00011101001	fronl	120
00011101001	from	148973
00011101001	froln	133
00011101010	abeut	5
00011101010	(<=	7
00011101010	conceming	8
00011101010	almut	9
00011101010	abont	12
00011101010	aboul	19
00011101010	about	34489
00011101010	ahout	30
000111010110	4at	7
000111010110	at	81257
00011101011100	wllh	5
00011101011100	3j7	5
00011101011100	ovcr	8
00011101011100	rivaling	12
00011101011100	exceeding	103
00011101011100	over	24309
000111010111010	accross	5
000111010111010	aniong	5
000111010111010	ilave	6
000111010111010	coil_lead	6
000111010111010	amidst	12
000111010111010	acros	21
000111010111010	across	5638
000111010111011	frnm	5
000111010111011	aggravates	6
000111010111011	wreak	6
000111010111011	alnong	9
000111010111011	anlong	12
000111010111011	mnong	15
000111010111011	among	11821
000111010111011	amongst	302
000111010111100	withiu	5
000111010111100	witlfin	5
000111010111100	wlthin	7
000111010111100	wilhin	12
000111010111100	mong	20
000111010111100	beneath	115
000111010111100	within	17210
000111010111101	predating	5
000111010111101	undcr	5
000111010111101	raider	5
000111010111101	withing	5
000111010111101	3333	6
000111010111101	untill	6
000111010111101	delining	6
000111010111101	tinder	9
000111010111101	nnder	9
000111010111101	trader	16
000111010111101	undergoing	114
000111010111101	under	12721
0001110101111100	abotlt	5
0001110101111100	head2right	8
0001110101111100	froni	12
0001110101111100	toward	1488
0001110101111100	regarding	1778
0001110101111100	onto	2257
0001110101111100	towards	2385
0001110101111100	concerning	2436
0001110101111100	against	5552
0001110101111101	th3t	5
0001110101111101	wah	6
0001110101111101	eludes	7
0001110101111101	disturbs	9
0001110101111101	behind	1597
0001110101111101	upon	4085
0001110101111101	beyond	2734
0001110101111110	tmtil	6
0001110101111110	throngh	8
0001110101111110	lhrough	9
0001110101111110	fro111	11
0001110101111110	thru	21
0001110101111110	through	14485
0001110101111110	via	4885
0001110101111111	lfrom	5
0001110101111111	ssuming	5
0001110101111111	2when	6
0001110101111111	celebrates	6
0001110101111111	durlng	8
0001110101111111	2since	10
0001110101111111	daring	11
0001110101111111	dunng	20
0001110101111111	during	10803
0001110101111111	throughout	1529
0001110110	witli	5
0001110110	willl	5
0001110110	witlt	5
0001110110	recreates	5
0001110110	whith	6
0001110110	wzth	6
0001110110	circumscribes	8
0001110110	wittl	9
0001110110	mith	9
0001110110	wiih	9
0001110110	wfth	10
0001110110	wlch	10
0001110110	vath	11
0001110110	witha	12
0001110110	wrh	12
0001110110	wifll	13
0001110110	wath	13
0001110110	wit11	17
0001110110	witb	17
0001110110	withthe	19
0001110110	uith	25
0001110110	witll	30
0001110110	wtth	55
0001110110	wilh	196
0001110110	with	222618
0001110110	wlth	234
0001110111	betweeen	5
0001110111	betwccn	5
0001110111	oetween	6
0001110111	betweell	6
